"word","n"
"#presidentobama",45
"#r",45
"#readers",45
"#seoyourlife",45
"#twill",45
"#algomaregion",44
"#brandis",44
"#celebrating",44
"#cnndebate",44
"#episcopal",44
"#freevote",44
"#qldpol",44
"#right",44
"#stonewall",44
"#toronto",44
"#tyranny",44
"#unitedblue",44
"#win",44
"#advertising",43
"#b2b",43
"#beasonpush",43
"#coopers",43
"#episcopalians",43
"#etsy",43
"#govbody",43
"#hilarious",43
"#hypocrites",43
"#idpol",43
"#msm",43
"#socialsecurity",43
"#writersupport",43
"#chiefjustice",42
"#copolitics",42
"#ferguson",42
"#fun",42
"#georgia",42
"#homosexuals",42
"#humor",42
"#kenpaxton",42
"#marriageforall",42
"#message",42
"#pacbradley",42
"#palmsprings",42
"#prophecy",42
"#renewables",42
"#rnb",42
"#straight",42
"#work",42
"#christmas",41
"#davidaxelrod",41
"#democrat",41
"#figureskating",41
"#homo",41
"#humanity",41
"#insanity",41
"#job",41
"#judicialtyranny",41
"#justmarried",41
"#liberalism",41
"#librally",41
"#mypartnermusthave",41
"#nelsondelanuez",41
"#northernontario",41
"#nouy",41
"#ohhillno",41
"#pmagenda",41
"#queenofireland",41
"#samesexmarraige",41
"#scno",41
"#silentsanctummanga",41
"#statesrights",41
"#tokyo",41
"#benghazi",40
"#capitalhill",40
"#countrymusic",40
"#ezb",40
"#favourite",40
"#gaycouples",40
"#google",40
"#gruen",40
"#nohate",40
"#orlando",40
"#presbyterians",40
"#proudtobeirish",40
"#reuse",40
"#taxes",40
"#asylumseekers",39
"#birthdaycard",39
"#digital",39
"#holylove",39
"#kennedy",39
"#matrimoniogay",39
"#outlaw",39
"#pd",39
"#philly",39
"#slovakia",39
"#smtown",39
"#subscribe",39
"#uncategorized",39
"#utpol",39
"#washington",39
"#aclu",38
"#campaign",38
"#canberra",38
"#clinica",38
"#dallas",38
"#dc",38
"#gayteen",38
"#goodvibetribe",38
"#judgement",38
"#legalizeit",38
"#loveconquersall",38
"#lovewillwin",38
"#messagefortheworld",38
"#notmydebt",38
"#president",38
"#protest",38
"#relationship",38
"#rubio",38
"#science",38
"#smallbusiness",38
"#thanksobama",38
"#unconstitutional",38
"#voteyesforequality",38
"#watch",38
"#antoninscalia",37
"#aug21",37
"#babel",37
"#brucejenner",37
"#budget2015",37
"#canning",37
"#confession",37
"#entsch",37
"#greetingcard",37
"#kingofpopart",37
"#ladyofknock",37
"#obamas",37
"#ocra",37
"#onlinegaydating",37
"#pastor",37
"#popetysm",37
"#prolesbianmarriage",37
"#reutersscotus",37
"#slipperyslope",37
"#thegame",37
"#vietnam",37
"#war",37
"#abortionrights",36
"#aminowabigot",36
"#cannabis",36
"#cblive",36
"#celebrity",36
"#charlesmanson",36
"#cruz",36
"#difference",36
"#endtimes",36
"#equalprotection",36
"#estateplanning",36
"#ff",36
"#gaykik",36
"#german",36
"#heydongate",36
"#itsabouttime",36
"#justsaying",36
"#jym2016",36
"#martech",36
"#mrandmr",36
"#nom",36
"#parliament",36
"#pastors",36
"#recycle",36
"#rome",36
"#sfpride",36
"#skaterdevelopment",36
"#sydney",36
"#wale",36
"#yesvote",36
"#banksrc",35
"#bbcqt",35
"#blondeshavemorefun",35
"#cáncer",35
"#changepenang",35
"#christjesus",35
"#freedomofreligion",35
"#genderidentity",35
"#groom",35
"#grooms",35
"#humanism",35
"#indianagovernor",35
"#lesbianism",35
"#madmen",35
"#marry",35
"#newapocalypse",35
"#nswpol",35
"#samesexmarriage=samesex",35
"#scotuss",35
"#sedeunica",35
"#selfiestickmoment",35
"#single",35
"#srm",35
"#weed",35
"#br1m",34
"#cake",34
"#choppergate",34
"#coalition",34
"#ctot",34
"#gaykiss",34
"#gaymarriage=samesexadoption",34
"#intolerance",34
"#irlanda",34
"#libtard",34
"#mentalhealth",34
"#monday",34
"#no",34
"#pinoyabroad",34
"#plebicite",34
"#pvonewsday",34
"#ruthbaderginsburg",34
"#samesexcouple",34
"#samesexcouples",34
"#socialissues",34
"#sogi",34
"#springst",34
"#sxmadness",34
"#ultimately",34
"#weddingcake",34
"#weddingphotographer",34
"#yes4m",34
"#arpx",33
"#atx",33
"#bastrop",33
"#brands",33
"#confederatetakedown",33
"#design",33
"#eltonjohn",33
"#firstamendment",33
"#gayandlesbian",33
"#gayparentingchildrenraisedby",33
"#gfeed",33
"#ifunny",33
"#joebiden",33
"#lawoftheland",33
"#lesbianmarriage",33
"#live",33
"#mardigras",33
"#me",33
"#ncga",33
"#on",33
"#pambondi",33
"#personals",33
"#pray",33
"#progressive",33
"#quoteoftheday",33
"#restyle",33
"#scotx",33
"#sexuality",33
"#spain",33
"#thebedtimebears",33
"#tiffany",33
"#unchaste",33
"#vloggers",33
"#abcnews",32
"#acts529",32
"#adultery",32
