source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,2019-02-15,"Twitter, Facebook and Google are not for ""free expression."" They are totally biased in favor of Democrats!",51K,44K,1.8K,3.1K,359,391,1K,6997,/story.php?story_fbid=10162161377770725&id=153080620724
Donald J. Trump,,2019-02-15,"Chuck and Nancy refused to help Build the Wall and secure our border. Now, American Patriots are fighting back! Text ""WALL"" to 88022!",44K,35K,2.5K,5.9K,186,41,253,7652,/story.php?story_fbid=10162164875730725&id=153080620724
Donald J. Trump,,2019-02-11,"These are ordinary Americans, not Washington politicians, who have seen first-hand how a border wall brought safety and security back to their community.",Markwayne Mullin and 31K others,26K,553,3.9K,103,24,74,4660,/story.php?story_fbid=10162147396260725&id=153080620724
Donald J. Trump,,2019-02-11,"Join me LIVE in El Paso, TX! Great crowd for a #MAGA rally! Text TRUMP to 88022 for Campaign Updates!",Jan Morgan and 124K others,77K,1.7K,42K,418,208,1.1K,85203,/story.php?story_fbid=717737358622614&id=153080620724
Donald J. Trump,,2019-02-15,"""Israel, Gulf States Commend Kushner’s Peace Effort""",17K,15K,454,1.4K,58,8,68,1531,/story.php?story_fbid=10162164721335725&id=153080620724
Donald J. Trump,,2019-02-15,"President Donald J. Trump's schedule for Friday, February 15th: · Deliver remarks on the national security and humanitarian crisis at     our southern border · Receive intelligence briefing",17K,14K,500,2.3K,40,9,79,4229,/story.php?story_fbid=10162164771275725&id=153080620724
Donald J. Trump,,2019-02-11,The truth is that we have tremendous support. So many people are standing up for OUR agenda despite constant attacks from the left!,22K,18K,565,3K,55,17,70,3234,/story.php?story_fbid=10162146113945725&id=153080620724
Donald J. Trump,,2019-02-09,It’s time for Democrats to make their choice: continue political resistance and retribution or join US in fulfilling OUR vision for America. MAGA!,27K,23K,652,3.6K,58,8,97,5826,/story.php?story_fbid=10162135858215725&id=153080620724
Donald J. Trump,,2019-02-08,"My representatives have just left North Korea after a very productive meeting and an agreed upon time and date for the second Summit with Kim Jong Un. It will take place in Hanoi, Vietnam, on February 27 & 28. I look forward to seeing Chairman Kim & advancing the cause of peace!",54K,46K,915,6.3K,288,28,87,5384,/story.php?story_fbid=10162136235750725&id=153080620724
Donald J. Trump,,2019-02-08,"Working hard, thank you!",85K,69K,2K,13K,190,25,95,8931,/story.php?story_fbid=10162135874995725&id=153080620724
Donald J. Trump,,2019-02-08,"Now, we must step BOLDLY and BRAVELY into the next chapter of this great American adventure.",32K,26K,687,5.3K,52,13,61,3530,/story.php?story_fbid=10162135691250725&id=153080620724
Donald J. Trump,,2019-02-08,"My agenda is the agenda of the American people. This is OUR movement, and together, WE are making America GREAT again!🇺🇸",44K,34K,755,8.4K,45,15,91,4088,/story.php?story_fbid=10162104206725725&id=153080620724
Donald J. Trump,,2019-02-08,"No matter the trials we face, no matter the challenges to come, we must go forward TOGETHER to create a future of American greatness!",16K,13K,320,2.2K,22,6,32,1755,/story.php?story_fbid=10162131904915725&id=153080620724
Donald J. Trump,,2019-02-08,I will never apologize for advancing America's interests. AMERICA FIRST!,41K,33K,487,7.5K,41,8,63,3097,/story.php?story_fbid=10162127362530725&id=153080620724
Donald J. Trump,,2019-02-08,"There is no limit to what we can achieve when we put our citizens first, reject politics, and choose compromise!",Aric Chen 曉天 and 31K others,26K,537,4.3K,45,8,37,2762,/story.php?story_fbid=10162131928635725&id=153080620724
Donald J. Trump,,2019-02-07,We stand with the people of Venezuela and we resolve that America will NEVER be a socialist country.,Markwayne Mullin and 124K others,97K,3K,24K,235,59,238,11059,/story.php?story_fbid=10162130857980725&id=153080620724
Donald J. Trump,,2019-02-07,"I'll be in El Paso, Texas for a BIG rally on Monday, February 11th at 7:00 PM MT! Get tickets!",29K,23K,508,4.5K,95,14,76,2902,/story.php?story_fbid=10162126335115725&id=153080620724
Donald J. Trump,,2019-02-07,So many Americans AGREE with our vision of American greatness!,57K,46K,957,10K,116,18,65,4295,/story.php?story_fbid=10162130669455725&id=153080620724
Donald J. Trump,,2019-02-07,THANK YOU!,170K,136K,2.1K,31K,527,20,94,9579,/story.php?story_fbid=10162130668050725&id=153080620724
Donald J. Trump,,2019-02-07,"President Donald J. Trump’s schedule for Thursday, February 7th: · 2019 National Prayer Breakfast · Lunch with the Secretary of State · National Security Presidential Memorandum Signing to Launch the “Women’s Global Development and Prosperity” Initiative",15K,12K,286,2.3K,25,7,18,2056,/story.php?story_fbid=10162128376130725&id=153080620724
Donald J. Trump,,2019-02-07,Now is the time for all sides to come together and Choose Greatness!,52K,42K,864,8.9K,49,15,63,4050,/story.php?story_fbid=10162126553680725&id=153080620724
Donald J. Trump,,2019-02-06,Victory is WINNING for our COUNTRY.🇺🇸,Victor Fan and 119K others,97K,808,20K,90,11,66,4375,/story.php?story_fbid=10162126329145725&id=153080620724
Donald J. Trump,,2019-02-06,"Where walls go up, illegal crossings go way down. Walls WORK and walls SAVE LIVES!",39K,32K,522,6.5K,39,13,85,4841,/story.php?story_fbid=10162126536055725&id=153080620724
Donald J. Trump,,2019-02-06,"We must REJECT the politics of resistance and EMBRACE the boundless potential of cooperation, compromise, and the common good.",44K,36K,548,7.6K,59,11,59,3994,/story.php?story_fbid=10162126523480725&id=153080620724
